05-29 04:05:24.114 I/ReactNativeJS(31840): [perf] Perf diagnostics enabled
05-29 04:05:24.205 I/ReactNativeJS(31840): '[perf]', { label: 'Startup auth/session hydration',
05-29 04:06:09.285 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:09.286 I/ReactNativeJS(31840): '[perf]', { label: 'Backend reachability check',
05-29 04:06:09.872 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:10.232 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:14.717 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:20.269 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:23.151 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:27.097 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:29.076 I/ReactNativeJS(31840): '[perf]', { label: 'Sync queue processing',
05-29 04:06:29.116 I/ReactNativeJS(31840): '[perf]', { label: 'Notification inbox reconciliation',
05-29 04:06:29.493 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:31.388 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:31.692 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:31.721 I/ReactNativeJS(31840): '[perf]', { label: 'Backend reachability check',
05-29 04:06:31.728 I/ReactNativeJS(31840): '[perf]', { label: 'Home cache load',
05-29 04:06:31.741 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:31.813 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:31.943 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:32.081 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:32.081 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:32.097 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:32.141 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:06:32.180 I/ReactNativeJS(31840): '[perf]', { label: 'Home backend refresh',
